No;ID_useku;Total_SS;Total_Vyhl;Heavy_SS;Heavy_Vyhl;TypUseku;WKT
26;3067;7423;6181;266;176;81;LINESTRING(14.5590 50.0270,14.5595 50.0262,14.5597 50.0256,14.5601 50.0246,14.5621 50.0235,14.5628 50.0234,14.5635 50.0232,14.5641 50.0232)
27;3087;3418;3832;31;40;81;LINESTRING(14.6072 50.0309,14.6077 50.0304,14.6078 50.0294,14.6083 50.0279,14.6083 50.0267,14.6094 50.0249)
28;3285;2340;5508;78;76;83;LINESTRING(14.5776 50.0332,14.5766 50.0337,14.5741 50.0352,14.5731 50.0358,14.5723 50.0362,14.5717 50.0366)
29;3286;1857;5416;78;76;83;LINESTRING(14.5776 50.0332,14.5775 50.0323,14.5777 50.0317,14.5781 50.0312)
30;3625;10433;21695;844;2291;74;LINESTRING(14.5635 50.0550,14.5626 50.0558,14.5619 50.0569)
31;6156;23;2176;0;23;83;LINESTRING(14.5920 50.0364,14.5922 50.0367,14.5922 50.0368,14.5920 50.0371,14.5915 50.0379,14.5903 50.0391)
32;15856;4370;8150;115;49;81;LINESTRING(14.6020 50.0284,14.6022 50.0272,14.6025 50.0261,14.6026 50.0255,14.6028 50.0250,14.6032 50.0244,14.6037 50.0236)
33;17680;1659;9915;182;348;82;LINESTRING(14.5798 50.0558,14.5804 50.0552,14.5805 50.0546,14.5804 50.0541,14.5802 50.0533,14.5802 50.0524,14.5816 50.0509,14.5819 50.0493,14.5841 50.0474,14.5843 50.0465,14.5848 50.0458)
34;17681;16894;14512;1907;2092;75;LINESTRING(14.5739 50.0479,14.5792 50.0449)
35;17682;6315;3552;47;31;81;LINESTRING(14.5798 50.0558,14.5779 50.0558,14.5777 50.0560,14.5773 50.0562,14.5762 50.0566,14.5759 50.0567,14.5749 50.0568,14.5739 50.0568,14.5730 50.0568,14.5720 50.0566,14.5703 50.0564,14.5690 50.0563,14.5670 50.0559)
36;17688;16383;0;996;0;74;LINESTRING(14.5670 50.0518,14.5666 50.0523,14.5665 50.0526,14.5665 50.0529,14.5671 50.0544,14.5671 50.0548,14.5671 50.0553,14.5670 50.0559)
37;17689;7886;0;2355;0;74;LINESTRING(14.5792 50.0449,14.5802 50.0455,14.5811 50.0458,14.5820 50.0460,14.5833 50.0460,14.5848 50.0458)
38;17697;20235;19779;792;940;75;LINESTRING(14.5630 50.0341,14.5644 50.0345)
39;18351;1857;5416;78;76;83;LINESTRING(14.5779 50.0241,14.5788 50.0242,14.5794 50.0242,14.5801 50.0243,14.5803 50.0244,14.5804 50.0246,14.5805 50.0248,14.5806 50.0252,14.5805 50.0259,14.5805 50.0267,14.5804 50.0273,14.5799 50.0283,14.5793 50.0294,14.5784 50.0307,14.5781 50.0312)
40;18352;18044;18209;1592;1343;75;LINESTRING(14.5893 50.0386,14.5876 50.0375,14.5874 50.0374,14.5870 50.0374,14.5857 50.0376,14.5849 50.0375,14.5831 50.0371,14.5810 50.0360,14.5804 50.0359)
41;18353;16987;22412;888;1734;75;LINESTRING(14.5920 50.0364,14.5987 50.0316)
42;18355;12861;11796;146;264;75;LINESTRING(14.5932 50.0286,14.5937 50.0267)
43;18894;1254;1808;13;48;82;LINESTRING(14.5990 50.0286,14.6033 50.0236,14.6037 50.0236)
44;20031;17089;17054;538;564;75;LINESTRING(14.5671 50.0447,14.5669 50.0408)
45;20713;18007;17992;220;470;75;LINESTRING(14.5553 50.0478,14.5521 50.0470)
46;20719;6146;5769;143;128;81;LINESTRING(14.5641 50.0232,14.5658 50.0236,14.5678 50.0236,14.5690 50.0234)
47;20720;6137;5755;143;128;81;LINESTRING(14.5791 50.0212,14.5779 50.0207,14.5693 50.0234,14.5690 50.0234)
48;21484;7327;7955;190;562;81;LINESTRING(14.5893 50.0386,14.5903 50.0391)
49;21586;16736;16271;538;564;75;LINESTRING(14.5671 50.0447,14.5671 50.0455,14.5670 50.0461)
50;21587;16736;16271;538;564;75;LINESTRING(14.5635 50.0488,14.5657 50.0474,14.5662 50.0471,14.5666 50.0467,14.5669 50.0463,14.5670 50.0461)
51;52198;6980;10028;51;536;82;LINESTRING(14.5903 50.0391,14.5896 50.0399,14.5873 50.0427)
52;52199;7608;9915;245;348;82;LINESTRING(14.5848 50.0458,14.5873 50.0427)
53;53284;15692;13676;566;502;75;LINESTRING(14.5635 50.0488,14.5631 50.0485,14.5631 50.0483,14.5631 50.0483,14.5632 50.0482,14.5634 50.0481,14.5636 50.0481,14.5638 50.0482,14.5639 50.0482,14.5640 50.0484,14.5642 50.0486,14.5647 50.0492,14.5655 50.0501)
54;53285;16158;13591;581;504;75;LINESTRING(14.5670 50.0518,14.5668 50.0514,14.5655 50.0501)
55;53320;13471;12492;180;410;75;LINESTRING(14.5987 50.0316,14.5947 50.0296)
56;53321;12861;11796;146;264;75;LINESTRING(14.5932 50.0286,14.5947 50.0296)
57;53323;6819;13767;684;1384;75;LINESTRING(14.6086 50.0314,14.6091 50.0312,14.6099 50.0311,14.6103 50.0309,14.6113 50.0304)
58;53325;3767;5912;44;125;81;LINESTRING(14.6086 50.0314,14.6091 50.0315,14.6094 50.0315,14.6098 50.0313,14.6120 50.0312)
59;53327;814;157;115;7;81;LINESTRING(14.6113 50.0304,14.6118 50.0308,14.6120 50.0312)
60;61559;17075;14846;1818;2120;75;LINESTRING(14.5739 50.0479,14.5695 50.0504)
61;61560;17342;15246;1729;2148;75;LINESTRING(14.5670 50.0518,14.5695 50.0504)
62;61563;956;838;156;85;75;LINESTRING(14.5695 50.0504,14.5691 50.0500,14.5689 50.0476)
